Timestamp,LatencyMs,Type
1764185721.839817,0.061512,Value
1764185721.839820,0.061512,Value
1764185721.839832,0.057220,Range
1764185721.839839,0.039816,Range
1764185721.844795,0.087023,Value
1764185721.844800,0.060558,Range
1764185721.844804,0.043631,Value
1764185721.844808,0.030279,Value
1764185721.844813,0.021219,Range
1764185721.849810,0.088215,Value
1764185721.849818,0.081301,Range
1764185721.849821,0.067949,Value
1764185721.849823,0.053883,Value
1764185721.849835,0.031233,Range
1764185721.854771,0.041008,Value
1764185721.854774,0.041246,Value
1764185721.854777,0.040293,Value
1764185721.854820,0.062227,Range
1764185721.854825,0.060558,Value
1764185721.859818,0.059366,Value
1764185721.859836,0.061989,Range
1764185721.859839,0.058413,Value
1764185721.859843,0.056028,Value
1764185721.859859,0.046730,Range
1764185721.864876,0.098705,Range
1764185721.864902,0.110865,Range
1764185721.864908,0.107050,Value
1764185721.864911,0.092506,Value
1764185721.864915,0.077486,Value
1764185721.869881,0.108480,Value
1764185721.869892,0.097513,Range
1764185721.869901,0.084639,Range
1764185721.869908,0.058174,Range
1764185721.869920,0.043869,Range
1764185721.874894,0.087976,Value
1764185721.874898,0.084877,Value
1764185721.874911,0.055790,Range
1764185721.874932,0.052929,Range
1764185721.874936,0.049353,Value
1764185721.879874,0.069380,Range
1764185721.879879,0.069618,Value
1764185721.879882,0.060558,Value
1764185721.879908,0.063419,Range
1764185721.879913,0.051498,Value
1764185721.884915,0.100851,Range
1764185721.884923,0.085115,Value
1764185721.884928,0.070810,Value
1764185721.884931,0.057459,Value
1764185721.884934,0.037670,Value
1764185721.889924,0.103474,Range
1764185721.889930,0.093460,Value
1764185721.889933,0.083447,Value
1764185721.889935,0.070810,Value
1764185721.889947,0.056982,Range
1764185721.894906,0.064611,Range
1764185721.894912,0.059605,Value
1764185721.894916,0.048399,Value
1764185721.894941,0.055313,Range
1764185721.894946,0.053167,Value
1764185721.899960,0.109911,Range
1764185721.899970,0.092506,Range
1764185721.899973,0.088215,Value
1764185721.899981,0.066519,Range
1764185721.899994,0.059366,Range
1764185721.904993,0.120163,Range
1764185721.905001,0.110149,Value
1764185721.905018,0.107765,Range
1764185721.905024,0.102520,Value
1764185721.905029,0.074863,Range
1764185721.909925,0.058889,Value
1764185721.909948,0.058174,Range
1764185721.909956,0.054836,Range
1764185721.909959,0.053406,Value
1764185721.909963,0.043392,Value
1764185721.914935,0.068665,Value
1764185721.914938,0.052929,Value
1764185721.914941,0.037670,Value
1764185721.914952,0.037670,Range
1764185721.914956,0.026703,Value
1764185721.919991,0.105143,Range
1764185721.920008,0.103712,Range
1764185721.920015,0.087976,Range
1764185721.920026,0.093699,Range
1764185721.920034,0.080585,Range
1764185721.924949,0.068903,Value
1764185721.924962,0.057459,Range
1764185721.924966,0.051498,Value
1764185721.924976,0.047922,Range
1764185721.924980,0.034809,Value
1764185721.929998,0.081778,Range
1764185721.930005,0.076294,Range
1764185721.930009,0.076771,Value
1764185721.930022,0.063896,Range
1764185721.930025,0.052929,Value
1764185721.935024,0.121593,Value
1764185721.935044,0.111103,Range
1764185721.935058,0.096083,Range
1764185721.935063,0.077724,Range
1764185721.935067,0.048637,Range
1764185721.940029,0.101805,Value
1764185721.940053,0.086069,Range
1764185721.940061,0.082493,Range
1764185721.940066,0.070095,Value
1764185721.940083,0.060320,Range
1764185721.945059,0.109196,Range
1764185721.945076,0.104904,Range
1764185721.945088,0.101566,Range
1764185721.945111,0.100613,Range
1764185721.945124,0.110149,Range
1764185721.950038,0.091553,Value
1764185721.950042,0.090122,Value
1764185721.950056,0.070810,Range
1764185721.950066,0.055313,Range
1764185721.950071,0.037670,Range
1764185721.955045,0.091791,Range
1764185721.955052,0.094652,Value
1764185721.955057,0.093460,Value
1764185721.955070,0.089407,Range
1764185721.955074,0.071764,Value
1764185721.960066,0.077248,Range
1764185721.960070,0.069141,Value
1764185721.960074,0.063658,Value
1764185721.960086,0.056505,Range
1764185721.960093,0.038862,Range
1764185721.965053,0.065327,Range
1764185721.965058,0.063658,Value
1764185721.965061,0.047684,Value
1764185721.965065,0.049114,Value
1764185721.965076,0.039101,Range
1764185721.970120,0.110149,Range
1764185721.970124,0.102758,Value
1764185721.970127,0.088930,Value
1764185721.970129,0.080824,Value
1764185721.970139,0.071287,Range
1764185721.975117,0.099897,Range
1764185721.975122,0.087976,Range
1764185721.975126,0.074148,Value
1764185721.975130,0.056744,Value
1764185721.975138,0.035524,Range
1764185721.980122,0.076532,Range
1764185721.980127,0.067949,Value
1764185721.980130,0.069141,Value
1764185721.980140,0.047684,Range
1764185721.980149,0.037670,Range
1764185721.985095,0.063181,Range
1764185721.985099,0.062704,Value
1764185721.985103,0.058413,Value
1764185721.985119,0.054121,Range
1764185721.985122,0.051737,Value
1764185721.990198,0.124216,Range
1764185721.990206,0.092030,Range
1764185721.990213,0.075817,Range
1764185721.990223,0.059605,Range
1764185721.990228,0.055075,Value
1764185721.995145,0.081301,Range
1764185721.995150,0.074625,Value
1764185721.995154,0.067949,Value
1764185721.995157,0.050068,Value
1764185721.995160,0.038385,Value
1764185722.000177,0.078917,Range
1764185722.000185,0.080347,Value
1764185722.000188,0.070810,Value
1764185722.000207,0.071526,Range
1764185722.000211,0.057459,Value
1764185722.005155,0.073195,Value
1764185722.005159,0.063181,Value
1764185722.005165,0.058413,Value
1764185722.005168,0.042677,Value
1764185722.005180,0.029802,Range
1764185722.010139,0.048399,Value
1764185722.010144,0.044107,Value
1764185722.010147,0.034094,Value
1764185722.010161,0.036001,Range
1764185722.010165,0.030041,Value
1764185722.015167,0.065565,Range
1764185722.015203,0.084877,Range
1764185722.015211,0.084400,Range
1764185722.015215,0.068665,Value
1764185722.015219,0.068188,Value
1764185722.020205,0.072956,Value
1764185722.020210,0.063419,Value
1764185722.020215,0.060320,Value
1764185722.020218,0.050783,Value
1764185722.020264,0.064611,Range
1764185722.025238,0.097036,Value
1764185722.025247,0.076532,Range
1764185722.025261,0.061274,Range
1764185722.025268,0.054121,Range
1764185722.025271,0.039339,Value
1764185722.030235,0.074387,Range
1764185722.030239,0.074863,Value
1764185722.030246,0.046015,Range
1764185722.030250,0.037909,Value
1764185722.030254,0.035286,Value
1764185722.035229,0.080347,Range
1764185722.035234,0.081539,Value
1764185722.035244,0.056505,Range
1764185722.035248,0.046968,Value
1764185722.035251,0.030518,Value
1764185722.040272,0.084400,Range
1764185722.040277,0.079155,Value
1764185722.040287,0.067711,Range
1764185722.040295,0.051498,Range
1764185722.040298,0.031233,Value
1764185722.045302,0.103712,Range
1764185722.045318,0.082016,Range
1764185722.045327,0.069857,Range
1764185722.045331,0.060797,Value
1764185722.045335,0.050783,Value
1764185722.050277,0.092983,Value
1764185722.050282,0.067711,Range
1764185722.050291,0.054121,Range
1764185722.050311,0.066042,Range
1764185722.050318,0.044346,Range
1764185722.055267,0.066996,Value
1764185722.055271,0.057459,Value
1764185722.055282,0.049114,Range
1764185722.055286,0.047207,Value
1764185722.055297,0.033140,Range
1764185722.060277,0.066042,Value
1764185722.060294,0.061750,Range
1764185722.060328,0.088215,Range
1764185722.060332,0.088692,Value
1764185722.060341,0.068665,Range
1764185722.065320,0.098705,Range
1764185722.065332,0.077724,Range
1764185722.065336,0.063658,Value
1764185722.065339,0.057220,Value
1764185722.065347,0.046015,Range
1764185722.070315,0.085831,Range
1764185722.070323,0.071764,Range
1764185722.070336,0.077963,Range
1764185722.070340,0.068665,Value
1764185722.070350,0.048637,Range
1764185722.075304,0.065565,Value
1764185722.075307,0.056267,Value
1764185722.075344,0.072956,Range
1764185722.075348,0.063896,Value
1764185722.075351,0.054359,Value
1764185722.080335,0.066042,Range
1764185722.080346,0.051975,Range
1764185722.080350,0.040531,Value
1764185722.080352,0.031710,Value
1764185722.080355,0.030994,Value
1764185722.085339,0.072002,Value
1764185722.085351,0.061035,Range
1764185722.085372,0.059605,Range
1764185722.085376,0.051737,Value
1764185722.085435,0.101328,Range
1764185722.090361,0.084639,Range
1764185722.090367,0.070095,Value
1764185722.090371,0.066519,Value
1764185722.090374,0.051022,Value
1764185722.090377,0.038147,Value
1764185722.095328,0.040293,Value
1764185722.095332,0.039339,Value
1764185722.095345,0.036955,Range
1764185722.095349,0.030756,Value
1764185722.095351,0.026941,Value
1764185722.100389,0.086308,Range
1764185722.100393,0.070333,Value
1764185722.100395,0.066042,Value
1764185722.100409,0.051022,Range
1764185722.100417,0.037909,Range
1764185722.105405,0.104666,Range
1764185722.105420,0.092268,Range
1764185722.105433,0.086546,Range
1764185722.105437,0.070095,Value
1764185722.105447,0.051737,Range
1764185722.110383,0.066280,Value
1764185722.110391,0.067234,Range
1764185722.110409,0.056982,Range
1764185722.110412,0.055075,Value
1764185722.110418,0.038862,Range
1764185722.115440,0.106096,Range
1764185722.115447,0.095367,Value
1764185722.115455,0.083208,Range
1764185722.115458,0.067234,Value
1764185722.115467,0.042200,Range
1764185722.120421,0.079155,Value
1764185722.120431,0.069380,Range
1764185722.120460,0.077724,Range
1764185722.120463,0.067949,Value
1764185722.120466,0.048876,Value
1764185722.125446,0.087500,Value
1764185722.125450,0.078678,Value
1764185722.125453,0.063419,Value
1764185722.125472,0.060797,Range
1764185722.125477,0.035286,Range
1764185722.130453,0.092506,Range
1764185722.130471,0.075579,Range
1764185722.130476,0.061989,Value
1764185722.130479,0.054359,Value
1764185722.130482,0.039816,Value
1764185722.135430,0.051498,Value
1764185722.135449,0.049353,Range
1764185722.135454,0.047684,Value
1764185722.135491,0.077009,Range
1764185722.135495,0.072479,Value
1764185722.140487,0.095844,Range
1764185722.140491,0.078201,Value
1764185722.140516,0.080585,Range
1764185722.140520,0.069380,Value
1764185722.140526,0.044584,Range
1764185722.145462,0.051022,Range
1764185722.145465,0.038624,Value
1764185722.145468,0.030994,Value
1764185722.145471,0.016928,Value
1764185722.145474,0.016928,Value
1764185722.150523,0.090361,Range
1764185722.150564,0.099182,Range
1764185722.150568,0.098467,Value
1764185722.150571,0.097275,Value
1764185722.150579,0.078917,Range
1764185722.155495,0.074625,Value
1764185722.155498,0.056505,Value
