Timestamp,LatencyMs,Type
1764185886.439502,0.022411,Value
1764185886.444512,0.065327,Value
1764185886.444522,0.065327,Range
1764185886.444526,0.055552,Value
1764185886.444533,0.044107,Range
1764185886.444540,0.030279,Range
1764185886.449574,0.099421,Range
1764185886.449590,0.092983,Range
1764185886.449597,0.085115,Value
1764185886.449605,0.081539,Range
1764185886.449609,0.051022,Range
1764185886.454515,0.038624,Range
1764185886.454519,0.036955,Value
1764185886.454523,0.037670,Value
1764185886.454525,0.036001,Value
1764185886.454528,0.025988,Value
1764185886.459562,0.067234,Range
1764185886.459566,0.063658,Value
1764185886.459573,0.045538,Range
1764185886.459580,0.038147,Range
1764185886.459585,0.039339,Value
1764185886.464561,0.059366,Range
1764185886.464565,0.045061,Value
1764185886.464568,0.041485,Value
1764185886.464576,0.041008,Range
1764185886.464579,0.026941,Value
1764185886.469604,0.087976,Value
1764185886.469612,0.065327,Range
1764185886.469615,0.053644,Value
1764185886.469618,0.040531,Value
1764185886.469625,0.024319,Range
1764185886.474617,0.081539,Range
1764185886.474622,0.080109,Value
1764185886.474626,0.073671,Value
1764185886.474636,0.064850,Range
1764185886.474638,0.051260,Value
1764185886.479601,0.050545,Range
1764185886.479605,0.037670,Value
1764185886.479609,0.028133,Value
1764185886.479611,0.026703,Value
1764185886.479614,0.022411,Value
1764185886.484599,0.046492,Value
1764185886.484610,0.039816,Range
1764185886.484618,0.041723,Range
1764185886.484621,0.036716,Value
1764185886.484628,0.032425,Range
1764185886.489632,0.056744,Value
1764185886.489635,0.056267,Value
1764185886.489640,0.041962,Range
1764185886.489666,0.054598,Range
1764185886.489669,0.040770,Value
1764185886.494667,0.084877,Value
1764185886.494675,0.078440,Range
1764185886.494683,0.058174,Range
1764185886.494686,0.045061,Value
1764185886.494689,0.030279,Value
1764185886.499636,0.043869,Value
1764185886.499643,0.035286,Range
1764185886.499647,0.036001,Value
1764185886.499650,0.022173,Value
1764185886.499652,0.018597,Value
1764185886.504669,0.064611,Value
1764185886.504674,0.061989,Value
1764185886.504677,0.052214,Value
1764185886.504683,0.036955,Range
1764185886.504698,0.033617,Range
1764185886.509702,0.082970,Value
1764185886.509707,0.064135,Range
1764185886.509711,0.058651,Value
1764185886.509713,0.044823,Value
1764185886.509748,0.050783,Range
1764185886.514732,0.091314,Range
1764185886.514737,0.092268,Value
1764185886.514740,0.086784,Value
1764185886.514749,0.074863,Range
1764185886.514759,0.062227,Range
1764185886.519717,0.079393,Value
1764185886.519726,0.063419,Range
1764185886.519733,0.052691,Range
1764185886.519738,0.042200,Range
1764185886.519745,0.031233,Range
1764185886.524720,0.071526,Range
1764185886.524733,0.065088,Range
1764185886.524737,0.056267,Value
1764185886.524740,0.048876,Value
1764185886.524742,0.031948,Value
1764185886.529708,0.045538,Value
1764185886.529711,0.039101,Value
1764185886.529716,0.027895,Value
1764185886.529720,0.020504,Value
1764185886.529724,0.018358,Value
1764185886.534739,0.062704,Value
1764185886.534754,0.061035,Range
1764185886.534757,0.058413,Value
1764185886.534759,0.049591,Value
1764185886.534766,0.030041,Range
1764185886.539762,0.066757,Range
1764185886.539766,0.062704,Value
1764185886.539769,0.055075,Value
1764185886.539776,0.042677,Range
1764185886.539791,0.038624,Range
1764185886.544739,0.047922,Value
1764185886.544742,0.041485,Value
1764185886.544757,0.036240,Range
1764185886.544761,0.035524,Value
1764185886.544764,0.027895,Value
1764185886.549792,0.082016,Range
1764185886.549804,0.073671,Range
1764185886.549808,0.070333,Value
1764185886.549810,0.054836,Value
1764185886.549813,0.039101,Value
1764185886.554777,0.061512,Value
1764185886.554786,0.046253,Range
1764185886.554807,0.057459,Value
1764185886.554811,0.048161,Value
1764185886.554814,0.045538,Value
1764185886.559808,0.079870,Range
1764185886.559817,0.075102,Range
1764185886.559821,0.061512,Value
1764185886.559828,0.053644,Range
1764185886.559835,0.045300,Range
1764185886.564814,0.078917,Range
1764185886.564860,0.102520,Range
1764185886.564864,0.099659,Value
1764185886.564868,0.085115,Value
1764185886.564876,0.072002,Range
1764185886.569825,0.062704,Range
1764185886.569833,0.059128,Range
1764185886.569836,0.056028,Value
1764185886.569839,0.042677,Value
1764185886.569841,0.026703,Value
1764185886.574812,0.064850,Value
1764185886.574815,0.055075,Value
1764185886.574849,0.081778,Range
1764185886.574859,0.077724,Range
1764185886.574862,0.055552,Value
1764185886.579844,0.086308,Value
1764185886.579847,0.072479,Value
1764185886.579850,0.057220,Value
1764185886.579863,0.046015,Range
1764185886.579872,0.032902,Range
1764185886.584843,0.062227,Range
1764185886.584847,0.055313,Value
1764185886.584849,0.048399,Value
1764185886.584857,0.047684,Range
1764185886.584865,0.033379,Range
1764185886.589861,0.064611,Value
1764185886.589864,0.055552,Value
1764185886.589872,0.041485,Range
1764185886.589891,0.040531,Range
1764185886.589895,0.039101,Value
1764185886.594961,0.145674,Range
1764185886.594967,0.126123,Range
1764185886.594975,0.112295,Range
1764185886.594990,0.092030,Range
1764185886.594994,0.077009,Value
1764185886.599907,0.092506,Range
1764185886.599915,0.085831,Range
1764185886.599921,0.068903,Range
1764185886.599924,0.058413,Value
1764185886.599928,0.036478,Range
1764185886.604922,0.098944,Range
1764185886.604928,0.088692,Value
1764185886.604933,0.082731,Value
1764185886.604936,0.079870,Value
1764185886.604939,0.065804,Value
1764185886.609901,0.075579,Value
1764185886.609906,0.071049,Range
1764185886.609921,0.059605,Range
1764185886.609924,0.045776,Value
1764185886.609932,0.037193,Range
1764185886.614900,0.046730,Range
1764185886.614905,0.041485,Value
1764185886.614908,0.026226,Value
1764185886.614911,0.021458,Value
1764185886.614913,0.020981,Value
1764185886.619914,0.063658,Value
1764185886.619943,0.073433,Range
1764185886.619952,0.068188,Range
1764185886.619955,0.058651,Value
1764185886.619958,0.047445,Value
1764185886.624943,0.090361,Value
1764185886.624946,0.081062,Value
1764185886.624957,0.055075,Range
1764185886.625012,0.090361,Range
1764185886.625020,0.079155,Range
1764185886.629951,0.068426,Range
1764185886.629956,0.066757,Value
1764185886.629974,0.062943,Range
1764185886.629977,0.059366,Value
1764185886.629980,0.045061,Value
1764185886.634964,0.077724,Range
1764185886.634972,0.072002,Range
1764185886.634984,0.066996,Range
1764185886.634998,0.057697,Range
1764185886.635001,0.046968,Value
1764185886.639937,0.041485,Value
1764185886.639940,0.032425,Value
1764185886.639942,0.030994,Value
1764185886.639953,0.026464,Range
1764185886.639959,0.025034,Range
1764185886.644955,0.049591,Value
1764185886.644958,0.047207,Value
1764185886.644961,0.038147,Value
1764185886.644969,0.034809,Range
1764185886.644973,0.021219,Value
1764185886.649990,0.076056,Value
1764185886.650003,0.062943,Range
1764185886.650014,0.045776,Range
1764185886.650017,0.039339,Value
1764185886.650020,0.035048,Value
1764185886.654994,0.067949,Value
1764185886.654997,0.060320,Value
1764185886.655006,0.039339,Range
1764185886.655009,0.023842,Value
1764185886.655012,0.021458,Value
1764185886.659998,0.053167,Range
1764185886.660002,0.051260,Value
1764185886.660004,0.039816,Value
1764185886.660007,0.035524,Value
1764185886.660010,0.022650,Value
1764185886.665015,0.065088,Range
1764185886.665022,0.051737,Range
1764185886.665026,0.047684,Value
1764185886.665082,0.093222,Range
1764185886.665087,0.082970,Value
1764185886.670041,0.055075,Range
1764185886.670045,0.050068,Value
1764185886.670048,0.034332,Value
1764185886.670050,0.021219,Value
1764185886.670052,0.019789,Value
1764185886.675049,0.084877,Value
1764185886.675060,0.077248,Range
1764185886.675069,0.064850,Range
1764185886.675074,0.058889,Range
1764185886.675085,0.039101,Range
1764185886.680037,0.053167,Range
1764185886.680041,0.043631,Value
1764185886.680043,0.034332,Value
1764185886.680046,0.029087,Value
1764185886.680048,0.025988,Value
1764185886.685046,0.057697,Value
1764185886.685050,0.046492,Value
1764185886.685052,0.040531,Value
1764185886.685070,0.038385,Range
1764185886.685074,0.034094,Value
1764185886.690068,0.053406,Range
1764185886.690073,0.042677,Value
1764185886.690077,0.028610,Value
1764185886.690080,0.028849,Value
1764185886.690085,0.022173,Range
1764185886.695136,0.110388,Range
1764185886.695151,0.100374,Range
1764185886.695155,0.085592,Value
1764185886.695158,0.079155,Value
1764185886.695160,0.075102,Value
1764185886.700095,0.062466,Range
1764185886.700104,0.057936,Range
1764185886.700107,0.053644,Value
1764185886.700114,0.044584,Range
1764185886.700121,0.031471,Range
1764185886.705100,0.066996,Range
1764185886.705104,0.056267,Value
1764185886.705116,0.053644,Range
1764185886.705119,0.045061,Value
1764185886.705128,0.041246,Range
1764185886.710094,0.047207,Range
1764185886.710098,0.044823,Value
1764185886.710101,0.041246,Value
1764185886.710104,0.033855,Value
1764185886.710107,0.024796,Range
1764185886.715157,0.092268,Value
1764185886.715176,0.087976,Range
1764185886.715181,0.076294,Value
1764185886.715196,0.068665,Range
1764185886.715204,0.051022,Range
1764185886.720162,0.088692,Range
1764185886.720168,0.078440,Value
1764185886.720171,0.068188,Value
1764185886.720173,0.054359,Value
1764185886.720184,0.056267,Range
1764185886.725154,0.065088,Range
1764185886.725159,0.062227,Value
1764185886.725162,0.058651,Value
1764185886.725165,0.045300,Value
1764185886.725168,0.036955,Value
